Proverb_ID,Proverb_Text,Language,Region,Theme,Sub-Theme,Meaning,Source
P060,Patience is bitter but its fruit is sweet,Persian,Middle East,Patience,Reward,Practicing patience is difficult but leads to rewarding outcomes,Persian Proverb
P061,A book is like a garden carried in the pocket,Arabic,Middle East,Knowledge,Learning,Books contain worlds of knowledge accessible anywhere,Arabic Proverb
P062,The dogs bark but the caravan moves on,Arabic,Middle East,Perseverance,Criticism,Don't let critics stop your progress,Arabic Proverb
P063,He who has health has hope and he who has hope has everything,Arabic,Middle East,Health,Optimism,Health enables all life's possibilities,Arabic Proverb
P064,Write the bad things done to you in sand but write the good things in stone,Arabic,Middle East,Forgiveness,Gratitude,Remember kindnesses forget wrongs,Arabic Proverb
P065,The fruit of silence is tranquility,Arabic,Middle East,Peace,Quietness,Keeping silent brings inner peace,Arabic Proverb
P066,A thousand friends are too few one enemy is too many,Turkish,Middle East,Relationships,Friendship,You can never have too many friends but even one enemy is problematic,Turkish Proverb
P067,He who digs a pit for others will fall into it himself,Turkish,Middle East,Karma,Consequences,Harm intended for others will backfire on you,Turkish Proverb
P068,Coffee should be black as hell strong as death and sweet as love,Turkish,Middle East,Culture,Enjoyment,Description of the ideal Turkish coffee,Turkish Proverb
P069,Not every sweet root gives birth to sweet grass,Persian,Middle East,Family,Expectations,Good parents may have difficult children,Persian Proverb
P070,A narrow space looks wide to the narrow-minded,Persian,Middle East,Perspective,Mindset,Limited thinking sees everything as limited,Persian Proverb
P071,Until lions have their historians tales of the hunt shall always glorify the hunter,African,Africa,Power,Narrative,History is written by those in power,African Proverb
P072,If you want to go fast go alone; if you want to go far go together,African,Africa,Collaboration,Success,Individual effort brings quick results but teamwork achieves lasting success,African Proverb
P073,Smooth seas do not make skillful sailors,African,Africa,Challenge,Growth,Difficulties and challenges develop abilities and skills,African Proverb
P074,The child who is not embraced by the village will burn it down to feel its warmth,African,Africa,Community,Belonging,Those rejected by their community may become destructive,African Proverb
P075,When there is no enemy within the enemies outside cannot hurt you,African,Africa,Inner Strength,Peace,Internal peace protects you from external threats,African Proverb
P076,However long the night the dawn will break,African,Africa,Hope,Perseverance,Difficult times will eventually end,African Proverb
P077,A tree is known by its fruit,Biblical,Middle East,Character,Actions,People are judged by their deeds not their words,Biblical Proverb
P078,Pride goes before destruction,Biblical,Middle East,Humility,Warning,Arrogance and excessive pride lead to downfall,Biblical Proverb
P079,The love of money is the root of all evil,Biblical,Middle East,Morality,Greed,Excessive desire for wealth causes many problems,Biblical Proverb
P080,Do unto others as you would have them do unto you,Biblical,Middle East,Ethics,Reciprocity,Treat others the way you wish to be treated,Biblical Proverb
P081,The truth will set you free,Biblical,Middle East,Truth,Freedom,Honesty and truth bring liberation,Biblical Proverb
P082,He who is without sin cast the first stone,Biblical,Middle East,Judgment,Humility,Don't judge others when you have faults yourself,Biblical Proverb
P083,Who much embraces little squeezes,Spanish,Europe,Focus,Efficiency,Those who try to do too much accomplish little,Spanish Proverb
P084,There is no bad from which good does not come,Spanish,Europe,Hope,Optimism,Every negative situation brings some positive outcome,Spanish Proverb
P085,"If you want to know the road ahead, ask those coming back",Mandarin,East Asian,Wisdom,Mentorship,Seek advice from those who have already experienced what you are facing,Chinese Proverb
P086,To a gifted horse don't look at its teeth,Spanish,Europe,Gratitude,Appreciation,Don't criticize or scrutinize a gift,Spanish Proverb
P087,Tell me with whom you walk and I'll tell you who you are,Spanish,Europe,Relationships,Influence,You're known and influenced by the company you keep,Spanish Proverb
P088,In closed mouth flies don't enter,Spanish,Europe,Wisdom,Discretion,Keeping quiet prevents trouble,Spanish Proverb
P089,The habit doesn't make the monk,Spanish,Europe,Character,Appearance,Clothes and appearance don't define a person's character,Spanish Proverb
P090,Who sows winds reaps storms,Spanish,Europe,Consequences,Karma,Negative actions lead to worse outcomes,Spanish Proverb
P091,He who goes slowly goes safely and goes far,Italian,Europe,Patience,Carefulness,Going slowly and carefully leads to long-term success,Italian Proverb
P092,Appetite comes with eating,Italian,Europe,Desire,Growth,Doing something increases your desire to do more of it,Italian Proverb
P093,Between saying and doing there is a long way,Italian,Europe,Action,Commitment,There's a big difference between talking and actually doing something,Italian Proverb
P094,Who sleeps doesn't catch fish,Italian,Europe,Action,Effort,You must be active and work to achieve results,Italian Proverb
P095,Not to have all cups in the cupboard,German,Europe,Mental State,Sanity,To be crazy or not thinking clearly,German Proverb
P096,Morning hour has gold in its mouth,German,Europe,Time,Productivity,Early morning is the most valuable and productive time,German Proverb
P097,Who digs a pit for others falls into it himself,German,Europe,Karma,Justice,Those who try to harm others end up harming themselves,German Proverb
P098,All beginning is difficult,German,Europe,Challenge,Starting,Starting something new is always the hardest part,German Proverb
P099,"Where there is a will, there is a way",English,Europe,Determination,Persistence,Commitment leads to finding a solution to any problem,Traditional Proverb
P100,Little by little the bird builds its nest,French,Europe,Perseverance,Progress,Small consistent efforts lead to completion,French Proverb
P101,Who risks nothing has nothing,French,Europe,Risk,Reward,You must take risks to gain rewards,French Proverb
P102,To want is to be able,French,Europe,Determination,Willpower,Where there's a will there's a way,French Proverb
P103,You can't make an omelet without breaking eggs,French,Europe,Progress,Sacrifice,Achievement requires some destruction or cost,French Proverb
P104,The more things change the more they stay the same,French,Europe,Change,Constancy,Despite surface changes fundamental things remain the same,French Proverb
P105,Seize the day,Latin,Ancient Rome,Action,Present,Make the most of the present moment,Latin Proverb
P106,In wine there is truth,Latin,Ancient Rome,Truth,Honesty,People speak more honestly when intoxicated,Latin Proverb
P107,Time flies,Latin,Ancient Rome,Time,Passage,Time passes quickly,Latin Proverb
P108,I came I saw I conquered,Latin,Ancient Rome,Success,Victory,Statement of swift and complete victory,Latin Proverb
P109,There is no accounting for taste,Latin,Ancient Rome,Preference,Diversity,People's tastes and preferences vary inexplicably,Latin Proverb
P110,To each his own,Latin,Ancient Rome,Individuality,Preference,Everyone has different tastes and that's acceptable,Latin Proverb
P111,What doesn't kill you makes you stronger,German,Europe,Resilience,Growth,Surviving hardship builds character and strength,German Proverb
P112,Still waters run deep,English,Europe,Character,Depth,Quiet people often have profound thoughts and feelings,English Proverb
P113,The devil is in the details,English,Europe,Attention,Carefulness,Small things can cause significant problems,English Proverb
P114,A watched pot never boils,English,Europe,Patience,Time,Waiting and watching makes time seem to pass more slowly,English Proverb
P115,Better the devil you know than the devil you don't,English,Europe,Risk,Familiarity,Known problems are preferable to unknown ones,English Proverb
P116,Fool me once shame on you fool me twice shame on me,English,North America,Learning,Accountability,Being deceived twice is your own fault,American Proverb
P117,A leopard can't change its spots,English,Europe,Character,Permanence,People's fundamental nature cannot change,English Proverb
P118,Don't throw the baby out with the bathwater,German,Europe,Wisdom,Discernment,Don't discard something valuable while eliminating waste,German Proverb
P119,The road to hell is paved with good intentions,English,Europe,Actions,Consequences,Good intentions without action are worthless or harmful,English Proverb
P120,A chain is only as strong as its weakest link,English,Europe,Teamwork,Weakness,A group's strength depends on its weakest member,English Proverb
P121,Birds of a feather flock together,English,Europe,Relationships,Similarity,Similar people naturally associate with each other,English Proverb
P122,Don't put the cart before the horse,English,Europe,Logic,Order,Do things in the proper sequence,English Proverb
P123,Every dog has its day,English,Europe,Justice,Opportunity,Everyone gets their chance at success eventually,English Proverb
P124,Great minds think alike,English,Europe,Intelligence,Agreement,Intelligent people often reach similar conclusions,English Proverb
P125,Kill two birds with one stone,English,Europe,Efficiency,Achievement,Accomplish two things with a single action,English Proverb
P126,Let bygones be bygones,English,Europe,Forgiveness,Past,Forget and forgive past conflicts,English Proverb
P127,Make hay while the sun shines,English,Europe,Opportunity,Timing,Take advantage of good conditions while they last,English Proverb
P128,Never look a gift horse in the mouth,English,Europe,Gratitude,Appreciation,Don't question or criticize the value of a gift,English Proverb
P129,Once bitten twice shy,English,Europe,Caution,Experience,Bad experiences make you cautious about similar situations,English Proverb
P130,People who live in glass houses shouldn't throw stones,English,Europe,Hypocrisy,Criticism,Don't criticize others when you have similar faults,English Proverb
P131,The squeaky wheel gets the grease,English,North America,Advocacy,Attention,Those who complain or speak up get attention and help,American Proverb
P132,There's many a slip between cup and lip,English,Europe,Caution,Uncertainty,Things can go wrong at the last moment,English Proverb
P133,When the cat's away the mice will play,English,Europe,Discipline,Supervision,People misbehave when authority figures are absent,English Proverb
P134,You can't teach an old dog new tricks,English,Europe,Change,Rigidity,Older people or those set in their ways resist learning new things,English Proverb
P135,A bad workman blames his tools,English,Europe,Responsibility,Excuses,Incompetent people blame external factors for their failures,English Proverb
P136,A fool and his money are soon parted,English,Europe,Financial Wisdom,Foolishness,Foolish people waste money quickly,English Proverb
P137,A house divided against itself cannot stand,Biblical,Middle East,Unity,Strength,Internal conflict will destroy any group or organization,Biblical Proverb
P138,A problem shared is a problem halved,English,Europe,Support,Sharing,Discussing problems with others reduces their burden,English Proverb
P139,A soft answer turns away wrath,Biblical,Middle East,Communication,Peace,Gentle responses defuse anger and conflict,Biblical Proverb
P140,Adversity makes strange bedfellows,English,Europe,Cooperation,Necessity,Difficult times create unlikely partnerships,English Proverb
P141,All good things come to those who wait,English,Europe,Patience,Reward,Patience brings positive outcomes,English Proverb
P142,All roads lead to Rome,Latin,Ancient Rome,Journey,Destination,Many different paths can lead to the same goal,Latin Proverb
P143,All work and no play makes Jack a dull boy,English,Europe,Balance,Recreation,Life needs balance between work and leisure,English Proverb
P144,An apple a day keeps the doctor away,English,Europe,Health,Prevention,Good daily habits prevent illness,English Proverb
P145,An idle mind is the devil's workshop,English,Europe,Productivity,Idleness,Lack of activity leads to trouble and bad thoughts,English Proverb
P146,April showers bring May flowers,English,North America,Hope,Seasons,Difficult or unpleasant times lead to better times,American Proverb
P147,As you make your bed so you must lie in it,English,Europe,Responsibility,Consequences,You must accept the results of your own actions,English Proverb
P148,Ask no questions and hear no lies,English,Europe,Ignorance,Truth,Not asking prevents hearing unpleasant or false information,English Proverb
P149,Attack is the best form of defense,English,Europe,Strategy,Aggression,Taking initiative provides strategic advantage,English Proverb
P150,Beauty is in the eye of the beholder,English,Europe,Perspective,Subjectivity,Beauty is subjective and varies by person,English Proverb
P151,Beauty is only skin deep,English,Europe,Character,Appearance,Physical appearance doesn't reflect inner qualities,English Proverb
P152,Behind every great man there's a great woman,English,North America,Partnership,Support,Successful people often have supportive partners,American Proverb
P153,Better safe than sorry,English,Europe,Caution,Prevention,Taking precautions prevents future regret,English Proverb
P154,Better to remain silent and be thought a fool than to speak and remove all doubt,English,North America,Wisdom,Silence,Speaking foolishly confirms stupidity while silence maintains doubt,American Proverb
P155,Between a rock and a hard place,English,North America,Difficulty,Choice,Facing two equally difficult or unpleasant options,American Proverb
P156,Big fish eat little fish,English,Europe,Power,Competition,The powerful dominate and consume the weak,English Proverb
P157,Brevity is the soul of wit,English,Europe,Communication,Conciseness,Being concise and brief shows intelligence and humor,English Proverb
P158,Charity begins at home,English,Europe,Family,Priority,Take care of your own family before helping others,English Proverb
P159,Cleanliness is next to godliness,English,Europe,Hygiene,Virtue,Being clean is a virtue close to being holy,English Proverb
P160,Clothes make the man,English,Europe,Appearance,Presentation,How you dress influences how others perceive you,English Proverb
P161,Dead men tell no tales,English,Europe,Secrets,Death,The dead cannot reveal secrets,English Proverb
P162,Distance makes the heart grow fonder,English,Europe,Love,Separation,Being apart increases affection and appreciation,English Proverb
P163,Don't bite off more than you can chew,English,North America,Limits,Caution,Don't take on more than you can handle,American Proverb
P164,Don't burn your bridges,English,North America,Relationships,Foresight,Maintain relationships as you may need them later,American Proverb
P165,Don't cast pearls before swine,Biblical,Middle East,Value,Appreciation,Don't offer valuable things to those who can't appreciate them,Biblical Proverb
P166,Don't cross the bridge till you come to it,English,Europe,Worry,Present,Don't worry about future problems before they occur,English Proverb
P167,Don't make a mountain out of a molehill,English,Europe,Perspective,Proportion,Don't exaggerate the importance of small problems,English Proverb
P168,Don't rock the boat,English,North America,Stability,Caution,Don't disturb a stable situation,American Proverb
P169,Don't shut the stable door after the horse has bolted,English,Europe,Prevention,Timing,Take preventive action before it's too late not after,English Proverb
P170,Don't throw good money after bad,English,Europe,Financial Wisdom,Loss,Don't continue investing in something that's already failing,English Proverb
P171,Don't wash your dirty linen in public,English,Europe,Privacy,Dignity,Keep private family matters private,English Proverb
P172,Empty vessels make the most noise,English,Europe,Wisdom,Ignorance,Ignorant or foolish people talk the most,English Proverb
P173,Even a broken clock is right twice a day,English,North America,Accuracy,Chance,Even consistently wrong sources are occasionally correct by chance,American Proverb
P174,Every man for himself,English,Europe,Survival,Selfishness,In crisis situations people prioritize their own survival,English Proverb
P175,Every picture tells a story,English,Europe,Communication,Images,Visual representations convey meaningful narratives,English Proverb
P176,Everything comes to him who waits,English,Europe,Patience,Time,Patient people eventually receive what they desire,English Proverb
P177,Faint heart never won fair lady,English,Europe,Courage,Love,Timidity and lack of courage don't win affection or success,English Proverb
P178,Familiarity breeds contempt,English,Europe,Relationships,Distance,Too much closeness or familiarity creates disrespect,English Proverb
P179,First come first served,English,Europe,Fairness,Order,Priority and service go to those who arrive first,English Proverb
P180,First impressions are the most lasting,English,Europe,Perception,Judgment,Initial impressions are difficult to change later,English Proverb
P181,Fools rush in where angels fear to tread,English,Europe,Wisdom,Caution,Foolish people take dangerous risks that wise people avoid,English Proverb
P182,Forewarned is forearmed,English,Europe,Preparation,Knowledge,Advance warning enables proper preparation,English Proverb
P183,Forgive and forget,English,Europe,Forgiveness,Peace,Let go of past wrongs completely,English Proverb
P184,Give credit where credit is due,English,North America,Recognition,Fairness,Acknowledge and recognize others' contributions properly,American Proverb
P185,Give him an inch and he'll take a mile,English,Europe,Boundaries,Greed,Small concessions lead to increasingly larger demands,English Proverb
P186,Good fences make good neighbors,English,North America,Boundaries,Relationships,Respecting boundaries maintains harmonious relationships,American Proverb
P187,Good things come in small packages,English,North America,Value,Size,Size doesn't determine quality or value,American Proverb
P188,Great oaks from little acorns grow,English,Europe,Growth,Potential,Great achievements have small beginnings,English Proverb
P189,Half a loaf is better than no bread,English,Europe,Contentment,Gratitude,Having something is better than having nothing,English Proverb
P190,Handsome is as handsome does,English,Europe,Character,Actions,True beauty comes from good deeds not physical appearance,English Proverb
P191,He who hesitates is lost,English,Europe,Decisiveness,Action,Indecision causes missed opportunities,English Proverb
P192,He who lives by the sword dies by the sword,Biblical,Middle East,Violence,Consequences,Those who use violence will face violence themselves,Biblical Proverb
P193,He who pays the piper calls the tune,English,Europe,Power,Control,Those who provide resources have control over decisions,English Proverb
P194,Hell hath no fury like a woman scorned,English,Europe,Anger,Revenge,A rejected woman's anger is extremely fierce,English Proverb
P195,History repeats itself,English,Europe,Time,Patterns,Past events and patterns tend to recur,English Proverb
P196,Home is where the heart is,English,Europe,Home,Love,Home is wherever your loved ones are,English Proverb
P197,Hope springs eternal,English,Europe,Hope,Optimism,Hope never completely dies in human hearts,English Proverb
P198,If at first you don't succeed try try again,English,Europe,Perseverance,Effort,Keep attempting after initial failures,English Proverb
P199,If it ain't broke don't fix it,English,North America,Caution,Change,Don't alter or change what already works well,American Proverb
P200,If the cap fits wear it,English,Europe,Self-Awareness,Criticism,If criticism applies to you accept it,English Proverb
P201,If the mountain won't come to Muhammad Muhammad must go to the mountain,Arabic,Middle East,Adaptation,Flexibility,If circumstances won't change you must adapt yourself,Arabic Proverb
P202,If wishes were horses beggars would ride,English,Europe,Reality,Action,Wishing alone doesn't make things happen,English Proverb
P203,If you can't stand the heat get out of the kitchen,English,North America,Pressure,Resilience,If you can't handle pressure or difficulty then leave,American Proverb
P204,If you lie down with dogs you'll get up with fleas,English,Europe,Associations,Consequences,Bad company causes problems and negative effects,English Proverb
P205,If you play with fire you'll get burned,English,Europe,Risk,Consequences,Engaging in dangerous activities leads to harm,English Proverb
P206,If you want something done ask a busy person,English,North America,Productivity,Efficiency,Busy productive people are most efficient at completing tasks,American Proverb
P207,Ignorance is bliss,English,Europe,Knowledge,Happiness,Not knowing can sometimes be more pleasant than knowing,English Proverb
P208,Imitation is the sincerest form of flattery,English,Europe,Influence,Admiration,Copying someone shows the highest form of respect,English Proverb
P209,In for a penny in for a pound,English,Europe,Commitment,Thoroughness,If you start something complete it fully,English Proverb
P210,In the kingdom of the blind the one-eyed man is king,English,Europe,Advantage,Relativity,Even minimal ability stands out where others have none,English Proverb
P211,It never rains but it pours,English,Europe,Luck,Timing,Problems or events tend to come in groups all at once,English Proverb
P212,It takes all sorts to make a world,English,Europe,Diversity,Acceptance,Different types of people are necessary and that's okay,English Proverb
P213,It's a small world,English,Global,Connections,Coincidence,The world feels surprisingly interconnected,English Proverb
P214,It's always darkest before the dawn,English,Europe,Hope,Difficulty,Things often improve dramatically after reaching their worst point,English Proverb
P215,It's an ill wind that blows nobody any good,English,Europe,Perspective,Benefit,Almost every situation benefits someone,English Proverb
P216,It's better to give than to receive,Biblical,Middle East,Generosity,Virtue,Giving to others is more rewarding than receiving,Biblical Proverb
P217,It's better to have loved and lost than never to have loved at all,English,Europe,Love,Risk,Experiencing love despite pain is better than never loving,English Proverb
P218,It's never too late to mend,English,Europe,Change,Improvement,You can always improve or change for the better,English Proverb
P219,It's the early bird that catches the worm,English,North America,Success,Timeliness,Those who act early gain advantages,American Proverb
P220,Jack of all trades master of none,English,Europe,Skill,Specialization,Doing many things prevents mastery of any single skill,English Proverb
P221,Keep your friends close and your enemies closer,Italian,Europe,Strategy,Relationships,Monitor potential threats more carefully than allies,Italian Proverb
P222,Laugh and the world laughs with you weep and you weep alone,English,North America,Emotion,Society,People prefer happy company and avoid sad people,American Proverb
P223,Learn to walk before you run,English,Europe,Progress,Fundamentals,Master basic skills before attempting advanced ones,English Proverb
P224,Least said soonest mended,English,Europe,Communication,Discretion,Saying less prevents or repairs damage more quickly,English Proverb
P225,Let the cat out of the bag,English,Europe,Secrets,Disclosure,Accidentally reveal a secret,English Proverb
P226,Lightning never strikes twice in the same place,English,Europe,Probability,Chance,Unlikely events rarely happen in the same place twice,English Proverb
P227,Like father like son,English,Europe,Family,Resemblance,Sons often resemble their fathers in behavior and character,English Proverb
P228,Little strokes fell great oaks,English,Europe,Perseverance,Effort,Small repeated efforts can achieve seemingly impossible things,English Proverb
P229,Live and let live,English,Europe,Tolerance,Acceptance,Allow others to live as they choose without interference,English Proverb
P230,Love is blind,English,Europe,Love,Perception,Love makes people overlook faults and imperfections,English Proverb
P231,Man does not live by bread alone,Biblical,Middle East,Life,Spirituality,Physical sustenance alone is not enough for a full life,Biblical Proverb
P232,Man proposes God disposes,English,Europe,Fate,Planning,Human plans are ultimately subject to divine will or fate,English Proverb
P233,Many a true word is spoken in jest,English,Europe,Truth,Humor,Jokes and humor often contain underlying truths,English Proverb
P234,Many hands make light work,English,Europe,Cooperation,Efficiency,Sharing work among many people makes it easier for all,English Proverb
P235,Marry in haste repent at leisure,English,Europe,Marriage,Caution,Rushing into marriage leads to long-term regret,English Proverb
P236,Might is right,English,Europe,Power,Force,The powerful determine what is considered right or just,English Proverb
P237,Mind your own business,English,North America,Privacy,Boundaries,Don't interfere in others' private affairs,American Proverb
P238,Misery loves company,English,Europe,Emotion,Support,Unhappy people seek out other unhappy people,English Proverb
P239,Money talks,English,North America,Power,Wealth,Wealth provides influence and gets attention,American Proverb
P240,More haste less speed,English,Europe,Patience,Efficiency,Rushing too much actually slows progress,English Proverb
P241,Necessity knows no law,English,Europe,Survival,Desperation,Desperate situations justify actions normally considered wrong,English Proverb
P242,Never say never,English,North America,Possibility,Openness,Don't completely rule out any possibility,American Proverb
P243,No man is an island,English,Europe,Community,Interdependence,Everyone needs connections and relationships with others,English Proverb
P244,No news is good news,English,Europe,Communication,Optimism,Absence of bad news suggests everything is fine,English Proverb
P245,No rest for the wicked,Biblical,Middle East,Justice,Consequences,Those who do wrong face constant troubles,Biblical Proverb
P246,Nothing ventured nothing gained,English,Europe,Risk,Reward,Taking no risks yields no rewards or achievements,English Proverb
P247,Oil and water don't mix,English,Europe,Compatibility,Difference,Some things or people are fundamentally incompatible,English Proverb
P248,Old habits die hard,English,Europe,Change,Persistence,Long-standing behaviors and patterns are very difficult to change,English Proverb
P249,Once a thief always a thief,English,Europe,Character,Permanence,People don't fundamentally change their character or nature,English Proverb
P250,One good turn deserves another,English,Europe,Reciprocity,Kindness,Acts of kindness should be returned with similar kindness,English Proverb
P251,One man's meat is another man's poison,English,Europe,Preference,Diversity,What benefits one person may harm another,English Proverb
P252,One man's trash is another man's treasure,English,North America,Value,Perspective,What one person discards another may value highly,American Proverb
P253,One swallow doesn't make a summer,Greek,Europe,Evidence,Proof,A single instance doesn't prove a general trend,Greek Proverb
P254,Opportunity knocks but once,English,Europe,Opportunity,Timing,Opportunities are rare and fleeting so seize them,English Proverb
P255,Patience is a virtue,English,Europe,Patience,Character,Being patient is an admirable quality,English Proverb
P256,Penny wise pound foolish,English,Europe,Financial Wisdom,Proportion,Being careful with small amounts while wasting large amounts,English Proverb
P257,Possession is nine-tenths of the law,English,Europe,Property,Ownership,Actually having something gives strong legal advantage,English Proverb
P258,Power corrupts absolute power corrupts absolutely,English,Europe,Power,Morality,Having power leads to moral decay especially unlimited power,English Proverb
P259,Prevention is better than cure,English,Europe,Health,Prevention,Avoiding problems is better than fixing them afterward,English Proverb
P260,Procrastination is the thief of time,English,Europe,Productivity,Time,Delaying and postponing wastes valuable time,English Proverb
